unidadeGeradora,Pi_min,pi_max,A,b,c,e,f
1,36,114,0.00690,6.73,94.705,100,0.084
2,36,114,0.00690,6.73,94.705,100,0.084
3,60,120,0.02028,7.07,309.54,100,0.084
4,80,190,0.00942,818,369.03,150,0.063
5,47,97,0.01140,5.35,148.89,120,0.077
6,68,140,0.01142,8.05,222.33,100,0.084
7,110,300,0.00357,8.03,278.71,200,0.042
8,135,300,0.00492,6.99,391.98,200,0.042
9,135,300,0.00573,6.60,455.76,200,0.042
10,130,300,0.00605,12.90,722.82,200,0.042
11,94,375,0.00515,12.90,635.20,200,0.042
12,94,375,0.00569,12.80,654.69,200,0.042
13,125,500,0.00421,12.50,913.40,300,0.035
14,125,500,0.00752,8.84,1760.4,300,0.035
15,125,500,0.00708,9.15,1728.3,300,0.035
16,125,500,0.00708,9.15,1728.3,300,0.035
17,220,500,0.00313,7.97,647.85,300,0.035
18,220,500,0.00313,7.95,649.69,300,0.035
19,242,550,0.00313,7.97,647.83,300,0.035
20,242,550,0.00313,7.97,647.81,300,0.035
21,254,550,0.00298,6.63,785.96,300,0.035
22,254,550,0.00298,6.63,785.96,300,0.035
23,254,550,0.00284,6.66,794.53,300,0.035
24,254,550,0.00284,6.66,794.53,300,0.035
25,254,550,0.00277,7.10,801.32,300,0.035
26,254,550,0.00277,7.10,801.32,300,0.035
27,10,150,0.52124,3.33,1055.1,120,0.077
28,10,150,0.52124,3.33,1055.1,120,0.077
29,10,150,0.52124,3.33,1055.1,120,0.077
30,47,97,0.01140,5.35,148.89,120,0.077
31,60,190,0.00160,6.43,222.92,150,0.063
32,60,190,0.00160,6.43,222.92,150,0.063
33,60,190,0.00160,6.43,222.92,150,0.063
34,90,200,0.00010,8.95,107.87,200,0.042
35,90,200,0.00010,8.62,116.58,200,0.042
36,90,200,0.00010,8.62,116.58,200,0.042
37,25,110,0.01610,5.88,307.45,80,0.098
38,25,110,0.01610,5.88,307.45,80,0.098
39,25,110,0.01610,5.88,307.45,80,0.098
40,242,550,0.00313,7.97,647.83,300,0.035
